,CompanyName,Cusine,Importance,Address,PhoneNumber,Website,NumReviews,Overall,PriceRange,Prices,Puntuation
291,Macellegria,"['Steakhouse', ' Italian', ' Mediterranean', ' Barbecue']","#290 of 2,742 Restaurants in Naples","Via Pasquale Formisano 10/14, 80125, Naples Italy",+39 081 036 3065,http://www.macellegria.it/,900,4.0,€25 - €50,"[8.5, 16.0, 14.0, 8.0, 1.5, 1.5, 8.0, 7.0, 7.0, 6.0]","['4', '3', '1', '0', '0']"
292,Pizzaioli Veraci Toledo,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#284 of 2,742 Restaurants in Naples","Vico Tre Re a Toledo 1 Ad angolo con via Toledo 299, 80132, Naples Italy",+39 081 020 9641,http://www.pizzaioliveraci.com/,717,4.0,€6 - €30,"[8.0, 6.0, 8.0, 6.0]","['26', '12', '5', '2', '3']"
293,Villa Del Vecchio Pozzo,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#294 of 2,742 Restaurants in Naples","Viale Virgilio 3, 80123, Naples Italy",+39 081 769 1033,http://www.villadelvecchiopozzo.it/,110,4.5,Na,Na,"['1', '0', '0', '0', '0']"
294,Antico Borgo Ai Vergini,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#298 of 2,742 Restaurants in Naples","Via Mario Pagano 6/7, 80137, Naples Italy",+39 081 1875 7501,https://www.facebook.com/anticapizzeriaborgoaivergini/,255,4.5,€10 - €20,Na,"['5', '1', '0', '0', '0']"
295,Il Piccolo Ristoro,['Lunch'],"#293 of 2,742 Restaurants in Naples","Calata Porta di Massa, 80133, Naples Italy",+39 349 192 9074,http://www.facebook.com/Il-Piccolo-Ristoro-1122459841144147/,117,4.5,Na,Na,"['12', '0', '0', '0', '0']"
296,Valù Vomero,"['Italian', ' Seafood', ' Mediterranean']","#297 of 2,742 Restaurants in Naples","Via Luca Giordano 21, 80127, Naples Italy",+39 081 049 1325,http://www.valu.it/,538,4.0,€7 - €50,Na,"['6', '4', '0', '0', '0']"
297,Etto,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#298 of 2,742 Restaurants in Naples","Via Santa Maria di Costantinopoli 103 Piazza Bellini, 80138, Naples Italy",+39 081 1932 0967,http://www.ettoexperience.it/,1353,4.0,Na,"[15.0, 13.0, 6.5, 5.5, 10.0, 7.0, 6.5]","['137', '100', '20', '10', '4']"
298,Mimi Alla Ferrovia,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#299 of 2,742 Restaurants in Naples","Via Alfonso D'Aragona 19/21 adiacenza Piazza Garibaldi, 80139, Naples Italy",+39 081 553 8525,http://www.mimiallaferrovia.it/,2133,4.0,€20 - €60,"[12.0, 8.0, 2.5]","['106', '61', '21', '12', '8']"
299,Pizzeria Del Purgatorio,"['Italian', ' Pizza', ' Fast Food', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#295 of 2,742 Restaurants in Naples","Via Dei Tribunali 352, 80138, Naples Italy",+39 366 331 5595,http://www.facebook.com/PizzeriaDelPurgatorio/,122,4.5,€5 - €15,Na,"['0', '0', '1', '0', '3']"
300,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
301,Vineria San Sebastiano,"['Italian', ' Bar', ' Mediterranean', ' Wine Bar']","#301 of 2,742 Restaurants in Naples","Via San Sebastiano N 11, 80134, Naples Italy",+39 333 364 2715,http://vineriasansebastiano.com/,131,4.5,€5 - €20,Na,"['29', '1', '0', '0', '0']"
302,AgriBraceria Di Fattoria Carpineto,"['Italian', ' Steakhouse', ' Mediterranean', ' Barbecue', ' Grill', ' Pub', ' Gastropub']","#300 of 2,742 Restaurants in Naples","Via Gaetano Salvatore, 457 / Via Variante 7bis, 22 Mariglianella - Napoli, 80145, Naples Italy",+39 081 546 1363,http://www.facebook.com/agribraceriafattoriacarpineto,907,4.0,€5 - €12,Na,"['420', '331', '88', '30', '38']"
303,Pizzeria di Napoli,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#303 of 2,742 Restaurants in Naples","Via Marc'Antonio 31 Zona Fuorigrotta, 80125, Naples Italy",+39 081 239 6942,http://www.pizzeriadinapoli.it/,1103,4.0,Na,Na,"['15', '2', '2', '0', '0']"
304,Koi Sushi Restaurant,"['Chinese', ' Japanese', ' Seafood', ' Sushi', ' Asian']","#303 of 2,742 Restaurants in Naples","Via Monteoliveto 35 Di fronte la Posta Centrale di Napoli, 80134, Naples Italy",+39 081 551 9299,http://www.koinapoli.it/,419,4.0,€7 - €36,Na,"['22', '8', '2', '1', '2']"
305,Antica Trattoria da Carmine,['Vegetarian Friendly'],"#302 of 2,742 Restaurants in Naples","Via Dei Tribunali 330, 80138, Naples Italy",+39 081 294383,http://www.facebook.com/pages/Antica-Trattoria-da-Carmine/196211980425821,1362,4.0,Na,Na,"['57', '58', '33', '3', '9']"
306,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#352 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
307,La Cantinetta,"['Vegetarian Friendly', ' Gluten Free Options']","#304 of 2,742 Restaurants in Naples","Via Michelangelo Ciccone 30, 80142, Naples Italy",+39 081 554 3288,https://www.facebook.com/www.lacantinetta.it,68,4.5,Na,"[4.0, 3.0, 3.0, 3.0]","['5', '0', '0', '0', '0']"
308,Nu Murzill Sapurito,"['Vegan Options', ' Vegetarian Friendly']","#307 of 2,742 Restaurants in Naples","Via San Giovanni Maggiore Pignatelli 47, 80134, Naples Italy",+39 081 402746,http://www.numurzillosapurito.it/,556,4.0,Na,Na,"['40', '23', '5', '1', '2']"
309,Risto-Pescheria Da Salvatore,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#305 of 2,742 Restaurants in Naples","Via Provinciale 99, 80126, Naples Italy",+39 081 588 2531,http://www.ristopescheriadasalvatore.it/,74,4.5,€15 - €40,[4.0],"['60', '11', '2', '0', '1']"
310,Casa A Tre Pizzi,['Gluten Free Options'],"#307 of 2,742 Restaurants in Naples","Via Mergellina 1A/B Largo Sermoneta, 80122, Naples Italy",+39 339 833 4219,http://www.casatrepizzi.com/,121,4.5,Na,"[28.0, 22.0, 20.0, 20.0, 20.0]","['4', '0', '0', '0', '0']"
311,A' Lucianella,"['Neapolitan', ' Campania', ' Southern-Italian']","#310 of 2,742 Restaurants in Naples","Vico Cinquesanti 29 Piazza San Gaetano, 80138, Naples Italy",+39 338 487 2258,http://www.facebook.com/alucianella,985,4.0,€8 - €35,Na,"['105', '35', '8', '4', '15']"
312,La Casa Di Ninetta,"['Italian', ' Seafood', ' Neapolitan', ' Campania', ' Southern-Italian']","#311 of 2,742 Restaurants in Naples","Via Niccolo' Tommaseo 11, 12 adiacente Piazza Vittoria, 80121, Naples Italy",+39 081 764 7573,http://lacasadininetta.it/,892,4.0,€35 - €60,Na,"['72', '28', '4', '1', '4']"
313,Benvenuti Al Sud Pizzeria\Ristorante,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#312 of 2,742 Restaurants in Naples","Corso Secondigliano 144 Vicino Aeroporto, 80144, Naples Italy",+39 081 038 0851,http://www.facebook.com/benvenuti.alsud.3/?ref=bookmarks,451,4.0,Na,Na,"['1', '4', '0', '1', '0']"
314,Pizzeria Attanasio,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#312 of 2,742 Restaurants in Naples","Via Dei Tribunali 379, 80138, Naples Italy",+39 081 296281,http://www.facebook.com/PizzeriaAttanasio,1605,4.0,€6 - €13,Na,"['49', '32', '3', '5', '4']"
315,Ristorante Pizzeria Marino,"['Italian', ' Neapolitan', ' Campania', ' Southern-Italian']","#314 of 2,742 Restaurants in Naples","Via Santa Lucia 118, 80132, Naples Italy",+39 081 764 0280,http://www.facebook.com/pages/Ristorante-Pizzeria-Marino-via-Santa-Lucia/266467133406794,585,4.0,€10 - €50,Na,"['44', '30', '4', '1', '1']"
316,Vienm a Truva',"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#315 of 2,742 Restaurants in Naples","Via Michele Kerbaker 108, 80129, Naples Italy",+39 339 375 1682,http://vienm-a-truva.thefork.rest/,306,4.5,€15 - €35,Na,"['9', '0', '0', '1', '0']"
317,50 Kalo Di Ciro Salvo,"['Vegetarian Friendly', ' Vegan Options']","#316 of 2,742 Restaurants in Naples","Piazza Sannazaro 201/B, 80123, Naples Italy",+39 081 1920 4667,http://www.facebook.com/50Kalo/,7790,4.0,Na,Na,"['216', '64', '20', '7', '8']"
318,Trattoria Da Nennella,['Vegetarian Friendly'],"#317 of 2,742 Restaurants in Naples","Vico Lungo Teatro Nuovo, 103/104/105, 80134, Naples Italy",+39 081 414338,https://www.trattoriadanennella.it/,10228,4.0,Na,Na,"['360', '184', '45', '33', '43']"
319,Sartu Ristorante,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#318 of 2,742 Restaurants in Naples","Via San Gennaro Al Vomero 13, 80129, Naples Italy",+39 331 881 0666,http://www.sartunapoli.it/,392,4.0,€20 - €45,"[10.0, 10.0, 12.0, 14.0, 15.0]","['13', '2', '2', '0', '2']"
320,Calici E Taglieri,['Gluten Free Options'],"#319 of 2,742 Restaurants in Naples","Via Monteoliveto 88 A 5 minuti da Spaccanapoli, 80134, Naples Italy",+39 081 230 5331,https://www.facebook.com/Calici-Taglieri-481880878991749/,111,4.5,Na,Na,"['4', '1', '0', '0', '1']"
321,A tutta Birra,"['Italian', ' Brew Pub', ' Bar']","#319 of 2,742 Restaurants in Naples","Via Dell'Epomeo 356, 80126, Naples Italy",+39 328 978 1977,http://www.facebook.com/atuttabirraviaepomeo/,68,5.0,€3 - €10,Na,"['68', '0', '0', '0', '0']"
322,Shanti Art MusiK Bar,['Bar'],"#321 of 2,742 Restaurants in Naples","Via Giovanni Paladino 56/57 Piazzetta Nilo, 80138, Naples Italy",+39 081 551 4979,https://www.facebook.com/pages/Shanti-4RT-MU5IK-34R/816214261752787,266,4.5,€5 - €10,Na,"['45', '10', '6', '2', '4']"
323,Ristorante Calasole,['Gluten Free Options'],"#324 of 2,742 Restaurants in Naples","Discesa Coroglio 39, 80123, Naples Italy",+39 081 575 0407,http://www.calasole.com/,620,4.0,Na,Na,"['8', '9', '1', '0', '0']"
324,JJ Carni & Vini,"['Italian', ' Brew Pub', ' Barbecue', ' Grill', ' Pub', ' Gastropub', ' Steakhouse', ' Bar']","#325 of 2,742 Restaurants in Naples","Via Raffaele Ruggiero, 339, 80125, Naples Italy",+39 333 503 2104,http://www.facebook.com/JamesJoyceNapoli/,313,4.5,€35 - €100,Na,"['168', '93', '31', '9', '12']"
325,Annare Trattoria Pizzeria,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' European', ' Neapolitan', ' Campania', ' Southern-Italian']","#326 of 2,742 Restaurants in Naples","Piazza del Gesù Nuovo, 31, 32, 33b, 80145, Naples Italy",+39 081 658 4713,http://www.annaretrattoriapizzeria.it/,643,4.0,€10 - €30,Na,"['41', '29', '8', '6', '7']"
326,Sale e Pepe Napoli,"['Steakhouse', ' Pub', ' Neapolitan', ' Grill']","#326 of 2,742 Restaurants in Naples","Via Belisario Corenzio 16, 80127, Naples Italy",+39 081 1837 0402,http://www.facebook.com/saleepepenapoli/?ref=bookmarks,746,4.0,€12 - €35,Na,"['7', '4', '0', '0', '0']"
327,Rinomato Pizzeria Cucina E Sapori,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' Beer restaurants']","#358 of 2,742 Restaurants in Naples","Via Nuova di Agnano 45, 80125, Naples Italy",+39 081 570 3353,https://www.facebook.com/rinomatocucinaesapori/,126,4.5,€7 - €25,Na,"['100', '11', '3', '8', '4']"
328,The Penny Black Pub,['Vegetarian Friendly'],"#327 of 2,742 Restaurants in Naples","Via Enrico Alvino 134/b, 80129, Naples Italy",+39 081 014 5828,http://www.thepennyblackpub.it/thepennyblackpub-it/,828,4.0,Na,Na,"['8', '2', '1', '0', '0']"
329,la Focaccia,['Vegetarian Friendly'],"#330 of 2,742 Restaurants in Naples","Via Giulio Cesare 84, 80125, Naples Italy",+39 081 625162,http://www.facebook.com/La-Focaccia-a-Fuorigrotta-225298760856227/,476,4.0,Na,Na,"['0', '1', '1', '0', '0']"
330,Terrazza Calabritto,"['Italian', ' Seafood', ' Mediterranean', ' European', ' Healthy']","#331 of 2,742 Restaurants in Naples","Piazza Vittoria 1 a/b, 80121, Naples Italy",+39 081 240 5188,http://www.terrazzacalabritto.it/,1013,4.0,€50 - €80,Na,"['33', '8', '1', '0', '3']"
331,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
332,Trattoria A Pignata,"['Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#334 of 2,742 Restaurants in Naples","Vico Lungo del Gelso 110/112 Quartieri Spagnoli, 80134, Naples Italy",+39 081 038 3437,http://www.trattoriapignata.it/,1889,4.0,€18 - €29,Na,"['62', '28', '10', '9', '18']"
333,PUOK (Vomero),"['American', ' Fast Food', ' Street Food']","#322 of 2,742 Restaurants in Naples","Via Francesco Cilea 104, 80127, Naples Italy",+ Add phone number,http://www.puokburger.com/,1851,4.0,€3 - €9,Na,"['6', '2', '2', '0', '0']"
334,Braceria Pastore,"['Italian', ' Steakhouse', ' Barbecue', ' Grill']","#335 of 2,742 Restaurants in Naples","Via Michelangelo da Caravaggio 58, 80126, Naples Italy",+39 081 643958,http://www.braceriapastore.it/,352,4.0,€30 - €100,Na,"['1', '0', '0', '0', '0']"
335,Alicella,"['Italian', ' Seafood', ' Mediterranean', ' European', ' Healthy', ' Fusion']","#337 of 2,742 Restaurants in Naples","Via Posillipo 309/310,311, 80123, Naples Italy",+39 081 341 8811,http://www.facebook.com/alicellaristorantecruderia/,88,4.5,€35 - €50,Na,"['3', '0', '0', '0', '0']"
336,Gari Osteria Giappoletana,"['Seafood', ' Contemporary', ' Fusion', ' Soups']","#338 of 2,742 Restaurants in Naples","Via Gabriele Jannelli 550, 80131, Naples Italy",+39 081 1991 2033,http://www.facebook.com/garisushinapoli,102,4.5,€20 - €80,Na,"['75', '21', '3', '1', '2']"
337,12 Morsi,"['Italian', ' American', ' Bar', ' Barbecue', ' Grill', ' Gastropub']","#338 of 2,742 Restaurants in Naples","Via Alabardieri 34, 80121, Naples Italy",+39 081 1858 4124,http://www.facebook.com/12morsi,878,4.0,€10 - €20,Na,"['24', '5', '1', '1', '1']"
338,La Vecchia Cantina,['Vegetarian Friendly'],"#340 of 2,742 Restaurants in Naples","Vico San Nicola Alla Carita' 13/14, 80134, Naples Italy",+39 081 552 0226,https://www.facebook.com/biancomangiarenapoli/,276,4.0,Na,Na,"['12', '13', '2', '1', '2']"
339,Tandem Sedile di Porto,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#341 of 2,742 Restaurants in Naples","Via Sedile di Porto 51, 80134, Naples Italy",+39 081 1924 5894,http://www.tandem.napoli.it/tandem-sedile-di-porto,641,4.0,€15 - €30,Na,"['41', '10', '4', '2', '3']"
340,La Figlia del Presidente,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#349 of 2,742 Restaurants in Naples","Via del Grande Archivio, 23/24, 80138, Naples Italy",+39 081 286738,http://www.figliadelpresidente.com/,3122,4.0,€5 - €15,Na,"['57', '28', '4', '2', '5']"
341,La Locanda Del Profeta,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#341 of 2,742 Restaurants in Naples","Vico Satriano 8C, 80121, Naples Italy",+39 081 245 5057,http://www.lalocandadelprofeta.it/,194,4.5,Na,Na,"['12', '5', '2', '1', '0']"
342,Barittico,"['Italian', ' Seafood', ' Mediterranean']","#344 of 2,742 Restaurants in Naples","Via Giovanni Merliani 51 A, 80129, Naples Italy",+39 081 1921 4976,https://www.facebook.com/baritticoofficial/,76,4.5,€18 - €36,Na,"['64', '5', '5', '0', '2']"
343,Sotto Le Stelle Pizzeria & Pub Braceria,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#345 of 2,742 Restaurants in Naples","Via Provinciale Montagna Spaccata 443, 80126, Naples Italy",+39 081 588 3800,http://sottolestellefood.business.site/?m=true,221,4.5,€6 - €20,Na,"['1', '1', '0', '0', '0']"
344,Osteria Don Maccarone,"['Vegetarian Friendly', ' Gluten Free Options']","#346 of 2,742 Restaurants in Naples","Via di Chiaia 12, 80121, Naples Italy",+39 081 403251,http://www.donmaccarone.altervista.org/,536,4.0,Na,Na,"['31', '20', '3', '4', '6']"
345,La Cantina dei Mille,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#347 of 2,742 Restaurants in Naples","Piazza Giuseppe Garibaldi 126, 80142, Naples Italy",+39 081 283448,http://lacantinadeimille.com/,1827,4.0,€11 - €36,Na,"['134', '64', '36', '26', '50']"
346,La Cucina di Elvira,"['Lunch', ' Dinner', ' Late Night']","#348 of 2,742 Restaurants in Naples","Via Gian Lorenzo Bernini 42 Vomero, 80129, Naples Italy",+39 338 933 8810,https://www.facebook.com/pages/La-Cucina-Di-Elvira/453226361433253,691,4.0,Na,Na,"['28', '8', '1', '1', '1']"
347,Il Peperoncino Birichino,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#349 of 2,742 Restaurants in Naples","Via S.Lucia 69, 80100, Naples Italy",+39 081 764 8738,http://www.peperoncinobirichino.it/,960,4.0,Na,Na,"['2', '6', '3', '1', '2']"
348,Palazzo Petrucci Ristorante,"['Mediterranean', ' Neapolitan', ' Campania', ' Contemporary']","#350 of 2,742 Restaurants in Naples","Via Posillipo 16 C, 80123, Naples Italy",+39 081 575 7538,http://www.palazzopetrucciristorante.it/home,1478,4.0,€75 - €100,"[32.0, 36.0, 45.0, 38.0, 28.0]","['117', '37', '27', '14', '10']"
349,Lubrano Pub,"['Italian', ' Bar', ' Barbecue', ' Steakhouse', ' Fast Food', ' Pub']","#351 of 2,742 Restaurants in Naples","Calata Trinita' Maggiore 51 Adiacente alla Piazza del Gesù, 80134, Naples Italy",+39 081 1827 3748,https://www.lubranopub.com/,111,4.5,€5 - €15,Na,"['7', '3', '0', '0', '0']"
350,Jap-One,"['Vegetarian Friendly', ' Gluten Free Options']","#351 of 2,742 Restaurants in Naples","Via Calabritto n.7, 80121, Naples Italy",+39 081 224 9431,https://www.facebook.com/japonesushirestaurant/,563,4.0,Na,Na,"['4', '3', '1', '1', '6']"
351,Gramsci Cafe Ristopub,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#353 of 2,742 Restaurants in Naples","Viale Antonio Gramsci 11, Naples Italy",+39 081 663440,http://www.gramscicafe.com/,203,4.5,Na,Na,"['3', '2', '1', '1', '0']"
352,Napoli 1820,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#354 of 2,742 Restaurants in Naples","Viale Antonio Gramsci 11, 80122, Naples Italy",+39 081 668770,http://www.napoli1820.it/,565,4.0,Na,Na,"['20', '8', '2', '1', '4']"
353,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
354,Mastri Pizzai,"['Vegetarian Friendly', ' Vegan Options']","#356 of 2,742 Restaurants in Naples","Piazza Giovanni Bovio 15 Fermata metro Università, 80133, Naples Italy",+39 081 1863 9440,https://www.facebook.com/mastripizzai/,209,4.5,Na,Na,"['15', '5', '2', '3', '2']"
355,Tripperia O' Russ,['Gluten Free Options'],"#357 of 2,742 Restaurants in Naples","Via Sant'Eframo Vecchio 68 Via Sant' Eframo Vecchio 68, 80137, Naples Italy",+39 081 599 1701,https://www.facebook.com/pages/Tripperia-%C3%B2-Russ/1494788814141394?fref=ts,86,4.5,Na,Na,"['1', '0', '0', '0', '0']"
356,Bellillo,"['Vegetarian Friendly', ' Vegan Options']","#364 of 2,742 Restaurants in Naples","Via Agostino Depretis 114-124, 80133, Naples Italy",+39 081 218 4600,http://www.bellillo.com/,264,4.0,Na,Na,"['15', '7', '1', '0', '0']"
357,Ostaria Pignatelli,"['Mediterranean', ' Middle Eastern', ' Neapolitan', ' Campania', ' Southern-Italian', ' Italian']","#360 of 2,742 Restaurants in Naples","Riviera di Chiaia 216, 80121, Naples Italy",+39 081 015 3134,https://www.ostariapignatelli.com/,49,5.0,€9 - €40,Na,"['2', '0', '0', '0', '0']"
358,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#355 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
359,Tufo - Trattoria Gourmet,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#362 of 2,742 Restaurants in Naples","Via Posillipo 268, 80123, Naples Italy",+39 081 575 0768,http://www.tufotrattoria.it/,853,4.0,€15 - €35,Na,"['11', '1', '0', '0', '0']"
360,Innovative - 'a Figlia d'o Marenaro,"['Italian', ' Seafood', ' Mediterranean', ' Barbecue', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#360 of 2,742 Restaurants in Naples","Via Foria 180, 80137, Naples Italy",+39 081 976 7330,https://www.facebook.com/InnovativeAFigliaDoMarenaro/,74,4.5,€55 - €200,Na,"['1', '0', '0', '0', '0']"
361,Pizzeria de Stefano,"['Italian', ' Pizza']","#363 of 2,742 Restaurants in Naples","Via Beniamino Cesi 6 Vomero, 80127, Naples Italy",+39 081 558 5856,http://it-it.facebook.com/Pizzeria-De-Stefano-138187546287890,250,4.5,€5 - €12,Na,"['145', '69', '22', '5', '9']"
362,La Locanda del grifo,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#363 of 2,742 Restaurants in Naples","Via Francesco del Giudice 14 Via tribunali, 80138, Naples Italy",+39 081 557 1492,http://www.lalocandadelgrifo.com/,929,4.0,€5 - €25,Na,"['47', '40', '9', '6', '10']"
363,Pizzeria Tutino,"['Vegetarian Friendly', ' Vegan Options']","#371 of 2,742 Restaurants in Naples","Via Cesare Carmignano 79-81, 80142, Naples Italy",+39 081 268711,http://www.pizzerianapoli.napoli.it/it/,405,4.0,Na,Na,"['6', '2', '0', '1', '0']"
364,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
365,Osteria Atri,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#366 of 2,742 Restaurants in Naples","Via Atri 22, 80100, Naples Italy",+39 081 1891 2380,https://www.facebook.com/Osteria-Atri-437023053147859/info/?tab=overview,353,4.0,€10 - €20,Na,"['10', '8', '3', '0', '3']"
366,Pietre vive,"['Vegetarian Friendly', ' Gluten Free Options', ' Vegan Options']","#368 of 2,742 Restaurants in Naples","Strada conuale marano pianura Incrocio Via Romano Marano Pianura, 80126, Naples Italy",+39 392 624 9963,http://www.ristorantepietrevive.com/,257,4.5,Na,Na,"['4', '0', '0', '0', '0']"
367,Trattoria dell'Oca,['Vegetarian Friendly'],"#368 of 2,742 Restaurants in Naples","Via Santa Teresa a Chiaia 11, 80121, Naples Italy",+39 081 414865,http://www.trattoriadelloca.it/,378,4.0,Na,Na,"['18', '9', '4', '1', '0']"
368,Officina del Mare Napoli,"['Italian', ' Seafood', ' Mediterranean', ' European', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#370 of 2,742 Restaurants in Naples","Piazzetta Marinari 20/21 Borgo Marinaro, 80132, Naples Italy",+39 081 1935 3543,http://www.officinadelmarenapoli.it/,1259,4.0,€10 - €50,Na,"['35', '13', '8', '5', '14']"
369,La Pizzettata,"['Vegetarian Friendly', ' Vegan Options']","#371 of 2,742 Restaurants in Naples","Via Belvedere 27 A/B, 80127, Naples Italy",+39 081 560 3554,https://www.facebook.com/A-pizzettata-285214661649934/,278,4.0,Na,Na,"['4', '1', '0', '0', '0']"
370,HappyHours Fuorigrotta,['Dinner'],"#397 of 2,742 Restaurants in Naples","Viale dei giochi del Mediterraneo, 80125, Naples Italy",+39 081 278 6335,https://www.facebook.com/HAPPYHOURS.Fuorigrotta,36,5.0,Na,Na,"['33', '3', '0', '0', '0']"
371,Ristorante Emozioni,"['Vegetarian Friendly', ' Gluten Free Options']","#373 of 2,742 Restaurants in Naples","Via Enrico Alvino 13, 80127, Naples Italy",+39 081 556 6468,http://www.facebook.com/EMOZIONI013/,207,4.5,Na,"[9.0, 10.0, 9.0, 9.0, 12.0, 10.0, 10.0]","['1', '0', '0', '0', '0']"
372,El Poble,['Gluten Free Options'],"#374 of 2,742 Restaurants in Naples","Via Argine 1009, 80147, Naples Italy",+39 081 596 6246,https://www.elpobletrattoria.com/,621,4.0,Na,Na,"['3', '1', '0', '0', '0']"
373,Trattoria Avellinese,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' International']","#375 of 2,742 Restaurants in Naples","Via Silvio Spaventa 31, 80142, Naples Italy",+39 081 658 1943,http://www.facebook.com/trattoriaavellinesedal1928,543,4.0,€10 - €30,Na,"['28', '23', '13', '6', '7']"
